m_D1	delta_m_plus	delta_m_0	sigma_2l_A	err_2l_A	sigma_2l_B	err_2l_B	sigma_2l_C	err_2l_C	sigma_3l_A	err_3l_A	sigma_3l_B	err_3l_B	sigma_3l_C	err_3l_C
1.0	10.0	1.0	97.0	41.0		100.0					1210.0	24.0		100.0
1.0	20.0	1.0	1470.0	58.0	6630.0	71.0		100.0			933.0	21.0		
1.0	40.0	1.0	102000.0	35.0	81700.0	58.0	81700.0	71.0			1200.0	8.0		
1.0	60.0	1.0	8840.0	45.0	5300.0	20.0	29400.0	58.0			220.0	6.0		100.0
1.0	80.0	1.0	783.0	11.0	326.0	4.0	1150.0	9.0			93.0	6.0		
10.0	5.0	1.0	698.0	58.0	3140.0	71.0		100.0						
10.0	10.0	1.0	161.0	38.0	674.0	45.0								
10.0	20.0	1.0	287.0	45.0		100.0	14300.0	71.0			1870.0	30.0		100.0
10.0	40.0	1.0	14000.0	50.0	12900.0	28.0	22300.0	45.0			531.0	5.0	68200.0	71.0
10.0	60.0	1.0	4440.0	26.0	507.0	5.0	604.0	7.0			165.0	5.0		
10.0	80.0	1.0	150.0	5.0	248.0	4.0	630.0	7.0			80.0	5.0		
10.0	120.0	1.0	281.0	6.0	1320.0	8.0	411.0	6.0			62.0	4.0		
20.0	5.0	1.0	97.0	41.0	877.0	71.0								
20.0	10.0	1.0	140.0	35.0	562.0	41.0								
20.0	20.0	1.0	4780.0	58.0	10800.0	50.0					9320.0	21.0		
20.0	40.0	1.0	6310.0	38.0	6020.0	21.0	17600.0	45.0			366.0	7.0		
20.0	60.0	1.0	247.0	6.0	377.0	4.0	438.0	6.0			148.0	5.0		
20.0	80.0	1.0	91.0	4.0	230.0	3.0	534.0	6.0			62.0	5.0		
20.0	120.0	1.0	247.0	6.0	1500.0	9.0	321.0	5.0		100.0	58.0	4.0	9400.0	58.0
40.0	5.0	1.0	3000.0	58.0	2250.0	29.0								
40.0	10.0	1.0	344.0	24.0	390.0	15.0								
40.0	20.0	1.0	797.0	24.0	1390.0	18.0		100.0			2180.0	10.0		
40.0	40.0	1.0	315.0	7.0	710.0	6.0	327.0	5.0			387.0	4.0		
40.0	60.0	1.0	99.0	4.0	300.0	4.0	302.0	5.0	835.0	41.0	114.0	9.0	2000.0	45.0
40.0	80.0	1.0	56.0	3.0	203.0	3.0	325.0	5.0	313.0	25.0	57.0	6.0	2000.0	45.0
